"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Chaumsathi Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/33/56/2d/chaumsathi.jpg?w=500&h=-1&s=1","","","4.5","28","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d319692-Reviews-Chaumsathi_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Scindia Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1f/0a/f7/scindia-ghat.jpg?w=500&h=-1&s=1","","","4.0","58","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d4153053-Reviews-Scindia_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Yoga Education Training Society","D.32/162, Devnathpura, Bengalitola near Golden Sporting Club, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e3/68/31/yoga-education-training.jpg?w=500&h=-1&s=1","","","5.0","936","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d2301492-Reviews-Yoga_Education_Training_Society-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Chaukhandi Stupa","Rishipattan Road, Varanasi 221007 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/25/b7/f4/chaukhandi-stupa.jpg?w=500&h=-1&s=1","","","4.0","72","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3171173-Reviews-Chaukhandi_Stupa-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Shivala Ghat","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/af/0e/1e/from-river-side-shivala.jpg?w=500&h=400&s=1","","","4.0","56","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3913193-Reviews-Shivala_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Darbhanga Ghat","Near Dashaswamedh Ghat Near Rana Mahal Ghat, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f5/38/46/el-palacio-al-fondo-del.jpg?w=500&h=-1&s=1","","","4.5","48","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3913184-Reviews-Darbhanga_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Bharat Mata Temple","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b6/af/d4/img-20190523-171458935.jpg?w=500&h=-1&s=1","","","4.0","180","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d3152135-Reviews-Bharat_Mata_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Mehrotra Silk Factory","K 4/8 A Lal Ghat Rajmandir Near Machhodari Park, Varanasi 221001 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0a/f1/f3/mehrotra-silk-factory.jpg?w=500&h=-1&s=1","","","5.0","135","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d6560781-Reviews-Mehrotra_Silk_Factory-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Malviya Bridge","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/05/22/ed/caption.jpg?w=500&h=400&s=1","","","4.5","36","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d5782416-Reviews-Malviya_Bridge-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
"Dr","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ad/6a/59/rajendraprasad-ghat.jpg?w=500&h=-1&s=1","","","4.5","40","","Asia > India > Uttar Pradesh > Varanasi District > Varanasi > Places to visit in Varanasi","https://www.tripadvisor.com/Attraction_Review-g297685-d11760700-Reviews-Dr_Rajendra_Prasad_Ghat-Varanasi_Varanasi_District_Uttar_Pradesh.html","2024-03-01T21:29:16Z"
