"name","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Tarna Devi Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/de/43/b2/balbirchaudhary.jpg?w=100&h=-1&s=1","","","4.5","20","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d7788308-Reviews-Tarna_Devi_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Mahamaya Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1","","","4.5","8","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705876-Reviews-Mahamaya_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Rothney Castle","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1","","","4.5","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705717-Reviews-Rothney_Castle-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Baba Bhalku Railway Museum","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/19/e5/a5/click-to-a-photograph.jpg?w=500&h=400&s=1","","","4.0","16","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d6974267-Reviews-Baba_Bhalku_Railway_Museum-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Prantika","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c2/50/6f/prantika.jpg?w=500&h=400&s=1","","","4.5","6","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d4558041-Reviews-Prantika-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Manorville Mansion Shimla","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/5e/a4/38/manorville-mansion.jpg?w=300&h=200&s=1","","","4.0","10","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705476-Reviews-Manorville_Mansion_Shimla-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Bantony Castle","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/9f/11/87/bantony-castle.jpg?w=500&h=-1&s=1","","","4.5","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d14123939-Reviews-Bantony_Castle-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Gurkha Gate","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f0/bc/a1/caption.jpg?w=500&h=-1&s=1","","","4.0","5","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3913508-Reviews-Gurkha_Gate-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Himalayan Bird Park","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/50/62/df/himalayan-bird-park.jpg?w=500&h=-1&s=1","","","3.0","32","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d7930730-Reviews-Himalayan_Bird_Park-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Image Art Gallery","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/a9/28/26/he-is-the-superstar-from.jpg?w=500&h=400&s=1","","","4.0","5","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3207809-Reviews-Image_Art_Gallery-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Indira Tourist Park","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/29/00/1d/nature.jpg?w=500&h=-1&s=1","","","3.0","20","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3207937-Reviews-Indira_Tourist_Park-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Kogi Mata Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1","","","4.5","5","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705948-Reviews-Kogi_Mata_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Derthu Mata Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/85/d0/d8/this-place-is-magical.jpg?w=500&h=400&s=1","","","5.0","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d15253948-Reviews-Derthu_Mata_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Baragaon","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/cf/65/1f/brahmeswer-mahadev-temple.jpg?w=500&h=-1&s=1","","","4.0","6","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d5486774-Reviews-Baragaon-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Shrikhand Mahadev","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/33/b5/fe/f.jpg?w=500&h=-1&s=1","","","4.0","3","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d14922233-Reviews-Shrikhand_Mahadev-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"SkyJumper Trampoline Park - Shimla","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ad/90/26/getlstd-property-photo.jpg?w=500&h=400&s=1","","","5.0","28","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d15610928-Reviews-SkyJumper_Trampoline_Park_Shimla-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Monument Rani Jhansi","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/b9/2d/c3/history-of-ladies-park.jpg?w=500&h=-1&s=1","","","4.0","6","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d12200976-Reviews-Monument_Rani_Jhansi-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Majathal Wildlife Sanctuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1","","","4.0","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d4435741-Reviews-Majathal_Wildlife_Sanctuary-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Padhai Kali Mata Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0a/35/d1/getlstd-property-photo.jpg?w=500&h=400&s=1","","","4.5","2","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d7314614-Reviews-Padhai_Kali_Mata_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Arya Samaj Mandir Temple","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/94/1e/sy1-sunny.jpg?w=100&h=-1&s=1","","","3.5","5","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3170418-Reviews-Arya_Samaj_Mandir_Temple-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Daulat Singh Park","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/0c/88/06/current-state-of-the.jpg?w=500&h=-1&s=1","","","4.0","5","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d14124327-Reviews-Daulat_Singh_Park-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"Manjathal Santuary","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1","","","4.0","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3705197-Reviews-Manjathal_Santuary-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
"St","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1","","","4.0","4","","Asia > India > Himachal Pradesh > Shimla District > Shimla > Things to Do in Shimla","https://www.tripadvisor.com/Attraction_Review-g304552-d3913054-Reviews-St_Andrew_s_Church-Shimla_Shimla_District_Himachal_Pradesh.html","2024-02-29T18:56:07Z"
