"name","address","emails","image","label","phone","rating","review_Count","website","breadcrumb","url","TimeStamp"
"Dastgir Sahib Shrine","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/63/5d/8e/located-in-old-city-a.jpg?w=500&h=-1&s=1","","","4.5","11","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3171257-Reviews-Dastgir_Sahib_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Sri Pratap Singh Museum","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/9a/84/c0/sri-pratap-singh-museum.jpg?w=500&h=-1&s=1","","","4.0","19","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3705740-Reviews-Sri_Pratap_Singh_Museum-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Zero Bridge","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/21/dd/b9/img-20181023-wa0016-largejpg.jpg?w=500&h=400&s=1","","","4.0","10","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d15107679-Reviews-Zero_Bridge-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Roza Bal Shrine","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/76/4e/7d/tomb-of-jesus-called.jpg?w=500&h=400&s=1","","","4.0","18","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3704970-Reviews-Roza_Bal_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Challi Point","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d2/cb/08/mutton-bbq.jpg?w=500&h=-1&s=1","","","4.0","11","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d6496327-Reviews-Challi_Point-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Badshah Tomb","Maharajganj, Srinagar 190002 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/63/13/b3/photo0jpg.jpg?w=500&h=400&s=1","","","4.0","11","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d4400962-Reviews-Badshah_Tomb-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Garden of Char Chinar","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/eb/db/21/garden-of-char-minar.jpg?w=500&h=400&s=1","","","3.5","30","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d2649167-Reviews-Garden_of_Char_Chinar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Foreshore Road","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/67/75/aa/srinagar-foreshore-road.jpg?w=500&h=400&s=1","","","4.5","4","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d14931670-Reviews-Foreshore_Road-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Masjid Dastgeer Sahib","Khanyar, Srinagar 190003 India","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/41/82/c8/street-view.jpg?w=500&h=400&s=1","","","4.0","13","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d3913196-Reviews-Masjid_Dastgeer_Sahib-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Gulshan Books Kashmir","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/93/2e/71/gulshan-books-kashmir.jpg?w=500&h=-1&s=1","","","4.5","5","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d13857130-Reviews-Gulshan_Books_Kashmir-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
"Floating Atm","","","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/b3/3f/e9/caption.jpg?w=500&h=400&s=1","","","5.0","2","","Asia > India > Jammu and Kashmir > Kashmir > Srinagar District > Srinagar > Places to visit in Srinagar","https://www.tripadvisor.com/Attraction_Review-g297623-d25020283-Reviews-Floating_Atm-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html","2024-03-01T18:28:28Z"
